code insee,ville,code postal,latitude,longitude,pays
11053,BRUGAIROLLES,11300,43.0486403902, 2.18021479284,FR
11056,CABRESPINE,11160,43.3459989767, 2.52081672381,FR
11073,CASSAIGNES,11190,42.9166610889, 2.34707884311,FR
11046,BOURIGEOLE,11300,43.0486403902, 2.18021479284,FR
11059,CAILHAVEL,11240,43.1188469018, 2.06671991119,FR
11048,BOUTENAC,11200,43.1662010238, 2.78892059953,FR
11044,BOUISSE,11330,42.9592043622, 2.54502712372,FR
11070,CARLIPA,11170,43.2815047945, 2.19442534937,FR
11060,CAILLA,11140,42.7657925357, 2.16672255446,FR
1001,L ABERGEMENT CLEMENCIAT,1400,46.1331001556, 4.99858455549,FR
1021,ARS SUR FORMANS,1480,46.0178170669, 4.81482624573,FR
1006,AMBLEON,1300,45.7328309975, 5.65715901636,FR
2111,BRANCOURT EN LAONNOIS,2320,49.5132435119, 3.44966195866,FR
2133,BUCY LES PIERREPONT,2350,49.6393180069, 3.83480530276,FR
2169,CHATILLON LES SONS,2270,49.714634271, 3.5968851996,FR
2127,BRUYERES SUR FERE,2130,49.1935797302, 3.55982855371,FR
2141,LA CAPELLE,2260,49.966610567, 3.91127792949,FR
2175,CHAVIGNY,2880,49.4238582409, 3.38402828695,FR
2152,CERSEUIL,2220,49.3180108636, 3.5439628093,FR
2121,BRENY,2210,49.2129002416, 3.35011614589,FR
2129,BRUYS,2220,49.3180108636, 3.5439628093,FR
1146,DOMPIERRE SUR CHALARONNE,1400,46.1331001556, 4.99858455549,FR
1145,DOMPIERRE SUR VEYLE,1240,46.0916655381, 5.14797548998,FR
1169,GENOUILLEUX,1090,46.0869886552, 4.79611073763,FR
1151,DRUILLAT,1160,46.0747014809, 5.31394582841,FR
1175,GORREVOD,1190,46.4316836316, 4.96424452785,FR
1157,FAREINS,1480,46.0178170669, 4.81482624573,FR
1162,FLAXIEU,1350,45.8543854094, 5.76557245306,FR
1173,GEX,1170,46.3286268081, 6.03059799732,FR
1410,SONTHONNAX LA MONTAGNE,1580,46.2402104429, 5.54908625912,FR
1403,SERRIERES DE BRIORD,1470,45.805864462, 5.47727707691,FR
1384,ST RAMBERT EN BUGEY,1230,45.9329292993, 5.4692328328,FR
1383,ST PAUL DE VARAX,1240,46.0916655381, 5.14797548998,FR
1417,THEZILLIEU,1110,45.9724218119, 5.577110369,FR
1406,SERVIGNAT,1560,46.44295833, 5.12304891736,FR
1420,THOISSEY,1140,46.1670266686, 4.8459954399,FR
